Points_0,Points_1,Points_2,Points_Magnitude,Point ID
0,0,5,5,0
0,0,4.98,4.98,1
0,0,4.96,4.96,2
0,0,4.94,4.94,3
0,0,4.92,4.92,4
0,0,4.9,4.9,5
0,0,4.88,4.88,6
0,0,4.86,4.86,7
0,0,4.84,4.84,8
0,0,4.82,4.82,9
0,0,4.8,4.8,10
0,0,4.78,4.78,11
0,0,4.76,4.76,12
0,0,4.74,4.74,13
0,0,4.72,4.72,14
0,0,4.7,4.7,15
0,0,4.68,4.68,16
0,0,4.66,4.66,17
0,0,4.64,4.64,18
0,0,4.62,4.62,19
0,0,4.6,4.6,20
0,0,4.58,4.58,21
0,0,4.56,4.56,22
0,0,4.54,4.54,23
0,0,4.52,4.52,24
0,0,4.5,4.5,25
0,0,4.48,4.48,26
0,0,4.46,4.46,27
0,0,4.44,4.44,28
0,0,4.42,4.42,29
0,0,4.4,4.4,30
0,0,4.38,4.38,31
0,0,4.36,4.36,32
0,0,4.34,4.34,33
0,0,4.32,4.32,34
0,0,4.3,4.3,35
0,0,4.28,4.28,36
0,0,4.26,4.26,37
0,0,4.24,4.24,38
0,0,4.22,4.22,39
0,0,4.2,4.2,40
0,0,4.18,4.18,41
0,0,4.16,4.16,42
0,0,4.14,4.14,43
0,0,4.12,4.12,44
0,0,4.1,4.1,45
0,0,4.08,4.08,46
0,0,4.06,4.06,47
0,0,4.04,4.04,48
0,0,4.02,4.02,49
0,0,4,4,50
0,0,3.976,3.976,51
0,0,3.9472,3.9472,52
0,0,3.91264,3.91264,53
0,0,3.87117,3.87117,54
0,0,3.8214,3.8214,55
0,0,3.76168,3.76168,56
0,0,3.69002,3.69002,57
0,0,3.60402,3.60402,58
0,0,3.50083,3.50083,59
0,0,3.37699,3.37699,60
0,0,3.22839,3.22839,61
0,0,3.05007,3.05007,62
0,0,2.83608,2.83608,63
0,0,2.5793,2.5793,64
0,0,2.27116,2.27116,65
0,0,1.65488,1.65488,66
0,0,0.422315,0.422315,67
0,0,-1.38512,1.38512,68
0,0,-3.19256,3.19256,69
0,0,-5,5,70
0,0,-7,7,71
0,0,-9,9,72
0,0,-11,11,73
0,0,-13,13,74
0,0,-15,15,75
0,0,-17,17,76
0,0,-19,19,77
0,0,-21,21,78
0,0,-23,23,79
0,0,-25,25,80
0,0,-27,27,81
0,0,-29,29,82
0,0,-31,31,83
0,0,-33,33,84
0,0,-35,35,85
1,0,5,5.09902,86
1,0,4.98,5.07941,87
1,0,4.96,5.0598,88
1,0,4.94,5.0402,89
1,0,4.92,5.0206,90
1,0,4.9,5.001,91
1,0,4.88,4.98141,92
1,0,4.86,4.96181,93
1,0,4.84,4.94223,94
1,0,4.82,4.92264,95
1,0,4.8,4.90306,96
