# Observation File: observation.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [s]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 temperature [K]
# Region: subsurface point -0.01
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 temperature [K]
# Region: subsurface point -0.04
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 temperature [K]
# Region: subsurface point -0.1
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 temperature [K]
# Region: subsurface point -0.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 temperature [K]
# Region: subsurface point -0.4
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 temperature [K]
# Region: subsurface point -0.8
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 temperature [K]
# Region: subsurface point -1.2
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 temperature [K]
# Region: subsurface point -1.6
# Functional: point
# Variable: temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.01 saturation liquid
# Region: subsurface point -0.01
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.04 saturation liquid
# Region: subsurface point -0.04
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.1 saturation liquid
# Region: subsurface point -0.1
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.2 saturation liquid
# Region: subsurface point -0.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.4 saturation liquid
# Region: subsurface point -0.4
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -0.8 saturation liquid
# Region: subsurface point -0.8
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.2 saturation liquid
# Region: subsurface point -1.2
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: point -1.6 saturation liquid
# Region: subsurface point -1.6
# Functional: point
# Variable: saturation_liquid
# Number of Vectors: 1
# =============================================================================
"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 1.196116405280e+06 2.641499985613e+02 2.641499985616e+02 2.641499985642e+02 2.641499985716e+02 2.641499985830e+02 2.641499985973e+02 2.641499986150e+02 2.641499986503e+02 7.429832391462e-02 7.429833565247e-02 2.221894567645e-01 2.221895190359e-01 2.221896137455e-01 2.221897276623e-01 2.221898715957e-01 2.221901712717e-01
8.640000000000e+04 1.196116405282e+06 2.915146109275e+02 2.843550975770e+02 2.731571275276e+02 2.702339926638e+02 2.669902968006e+02 2.646553009037e+02 2.642010560767e+02 2.641512319128e+02 1.000000000000e+00 1.000000000000e+00 7.928976334221e-01 2.426295122260e-01 2.276372708112e-01 2.229441711227e-01 2.222630303880e-01 2.221919306529e-01
1.728000000000e+05 1.196116405273e+06 2.919668077994e+02 2.870011740626e+02 2.790393897834e+02 2.719258549567e+02 2.688439429444e+02 2.658122835687e+02 2.645729656754e+02 2.641887820652e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.704961293503e-01 2.340084567788e-01 2.249735860976e-01 2.228166020761e-01 2.222456834272e-01
2.592000000000e+05 1.196116405283e+06 2.921551791251e+02 2.880879881366e+02 2.814893269094e+02 2.729040179872e+02 2.699053677011e+02 2.667867658528e+02 2.651151735753e+02 2.643125586967e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 3.778688834940e-01 2.400709648608e-01 2.271218533671e-01 2.236954482284e-01 2.224254238961e-01
3.456000000000e+05 1.196116405279e+06 2.922555536181e+02 2.886557258976e+02 2.826350782000e+02 2.731927201314e+02 2.705951973297e+02 2.675545740227e+02 2.656636427598e+02 2.645118728270e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 9.319658073424e-01 2.460259019123e-01 2.292193750092e-01 2.246854399515e-01 2.227233896668e-01
4.320000000000e+05 1.196116405307e+06 2.923539122627e+02 2.892325839615e+02 2.840465947402e+02 2.758887493218e+02 2.711980247167e+02 2.681619682316e+02 2.661652505101e+02 2.647560376112e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.537959561762e-01 2.312310692223e-01 2.256969415343e-01 2.231035851985e-01
5.184000000000e+05 1.196116405302e+06 2.923940175684e+02 2.894628566289e+02 2.845500860875e+02 2.766351532233e+02 2.715013734507e+02 2.686580468378e+02 2.666169859457e+02 2.650178811661e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.593279866731e-01 2.331857146601e-01 2.267115084333e-01 2.235312592977e-01
6.048000000000e+05 1.196116405295e+06 2.924456067401e+02 2.897681439999e+02 2.853284058588e+02 2.784352742591e+02 2.719727707745e+02 2.690694247303e+02 2.670121753890e+02 2.652825989792e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.721103689721e-01 2.350854570111e-01 2.276946170972e-01 2.239863719690e-01
6.912000000000e+05 1.196116405291e+06 2.924875441234e+02 2.900090397354e+02 2.858583535949e+02 2.791748038695e+02 2.722106490844e+02 2.694395969893e+02 2.673723217656e+02 2.655423224129e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.821802141485e-01 2.370736223975e-01 2.286819620261e-01 2.244570836314e-01
7.776000000000e+05 1.196116405294e+06 2.925056826722e+02 2.901141372611e+02 2.860998940370e+02 2.795939473534e+02 2.723045443563e+02 2.697286440555e+02 2.676933959339e+02 2.657935513245e+02 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 1.000000000000e+00 2.873467018512e-01 2.388580710761e-01 2.296479950176e-01 2.249372440089e-01
