"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.197079686212e+06 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.736500000000e+02 2.504033963338e-01 2.506094150898e-01 6.675440695124e-01 6.698444467142e-01 6.738847097279e-01 6.810673051065e-01 6.888527714993e-01 7.006044932972e-01 7.859633244429e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
3.155760000000e+07 1.197079686248e+06 2.736500007707e+02 2.736500007732e+02 2.736500007802e+02 2.736500007981e+02 2.736500008370e+02 2.736500009073e+02 2.736500009710e+02 2.736500010343e+02 2.736500007990e+02 2.736499999118e+02 2.736499480378e+02 2.736441647412e+02 2.733961019385e+02 2.506978183966e-01 2.509054217462e-01 6.683404126748e-01 6.706515772950e-01 6.747134928106e-01 6.819422468189e-01 6.897873235756e-01 7.016444246483e-01 7.880000588594e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
6.311520000000e+07 1.197079686238e+06 2.736500000196e+02 2.736500000194e+02 2.736500000189e+02 2.736500000176e+02 2.736500000148e+02 2.736500000095e+02 2.736500000023e+02 2.736499999849e+02 2.736499993721e+02 2.736499863416e+02 2.736491267774e+02 2.736203367268e+02 2.732443995257e+02 2.524118117053e-01 2.526268138920e-01 6.729528195708e-01 6.753222095484e-01 6.794920529056e-01 6.869286071849e-01 6.950184418642e-01 7.072749450841e-01 7.968335731213e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
9.467280000000e+07 1.197079686249e+06 2.736499974421e+02 2.736499974388e+02 2.736499974281e+02 2.736499973944e+02 2.736499973010e+02 2.736499970577e+02 2.736499967077e+02 2.736499960367e+02 2.736499865610e+02 2.736498738873e+02 2.736460926655e+02 2.735841370464e+02 2.731585837177e+02 2.536240821954e-01 2.538430918855e-01 6.761922527035e-01 6.785993072513e-01 6.828328255831e-01 6.903757820459e-01 6.985729683254e-01 7.109801480533e-01 8.015471403200e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.262304000000e+08 1.197079686240e+06 2.736499709722e+02 2.736499709662e+02 2.736499709435e+02 2.736499708543e+02 2.736499705593e+02 2.736499696528e+02 2.736499681776e+02 2.736499650836e+02 2.736499177148e+02 2.736494540209e+02 2.736397977173e+02 2.735407219168e+02 2.730206025231e+02 2.552471803366e-01 2.554724607476e-01 6.805072795994e-01 6.829670180983e-01 6.872936509966e-01 6.950038166441e-01 7.033842920610e-01 7.160710546673e-01 8.086335836647e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.577880000000e+08 1.197079686234e+06 2.736498672175e+02 2.736498672022e+02 2.736498671408e+02 2.736498668831e+02 2.736498659993e+02 2.736498632084e+02 2.736498585921e+02 2.736498488215e+02 2.736497017780e+02 2.736484660342e+02 2.736302670165e+02 2.734993606569e+02 2.701450815614e+02 2.558387265905e-01 2.560657052998e-01 6.820707816498e-01 6.845480787142e-01 6.889027911231e-01 6.966552691145e-01 7.050725879886e-01 7.178018658683e-01 8.105621645006e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
1.893456000000e+08 1.197079686235e+06 2.736495851907e+02 2.736495851647e+02 2.736495850460e+02 2.736495844958e+02 2.736495825152e+02 2.736495760605e+02 2.736495652061e+02 2.736495420379e+02 2.736491977163e+02 2.736466294608e+02 2.736178692396e+02 2.734598069908e+02 2.691420514090e+02 2.567643556359e-01 2.569953011794e-01 6.845135181076e-01 6.870217293056e-01 6.914325636020e-01 6.992899465756e-01 7.078272652765e-01 7.207472998387e-01 8.149645521877e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.209032000000e+08 1.197079686233e+06 2.736489892366e+02 2.736489891930e+02 2.736489889808e+02 2.736489879524e+02 2.736489841736e+02 2.736489716995e+02 2.736489505988e+02 2.736489054863e+02 2.736482469278e+02 2.736437772542e+02 2.736033854189e+02 2.734218927335e+02 2.692505332252e+02 2.578628933041e-01 2.580982335128e-01 6.873988721513e-01 6.899427972980e-01 6.944167482353e-01 7.023874883661e-01 7.110491729251e-01 7.241593605977e-01 8.197482495880e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.524608000000e+08 1.197079686254e+06 2.736479326833e+02 2.736479326145e+02 2.736479322711e+02 2.736479305823e+02 2.736479243337e+02 2.736479036144e+02 2.736478684973e+02 2.736477934154e+02 2.736467129434e+02 2.736398836269e+02 2.735877147034e+02 2.733941453016e+02 2.692591136315e+02 2.586095520581e-01 2.588474346539e-01 6.893506414818e-01 6.919175785506e-01 6.964299463455e-01 7.044634270147e-01 7.131864119489e-01 7.263788888511e-01 8.224204403465e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
2.840184000000e+08 1.197079686251e+06 2.736462882637e+02 2.736462881649e+02 2.736462876629e+02 2.736462851675e+02 2.736462758940e+02 2.736462450700e+02 2.736461927873e+02 2.736460810589e+02 2.736444904959e+02 2.736349821583e+02 2.735718427787e+02 2.733693546268e+02 2.683587494270e+02 2.589339179815e-01 2.591732364128e-01 6.901975481856e-01 6.927753379445e-01 6.973074303729e-01 7.053778914057e-01 7.141433969466e-01 7.274041096822e-01 8.239926299003e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
