"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.174495287486e+06 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 7.431543713829e-02 7.431543713829e-02 2.222091709613e-01 2.222091709613e-01 2.222091709613e-01 2.222091709613e-01 2.222091608412e-01 2.222091269318e-01 2.222089260859e-01 2.222085388422e-01 8.642280891575e-01 8.655045025510e-01 7.737101775187e-01 7.745209372030e-01 7.757704765807e-01 7.773609640957e-01 7.777908391588e-01 7.777908730682e-01 7.777910739141e-01 7.777914611578e-01
8.640000000000e+04 1.174495287459e+06 2.683913253044e+02 2.681086521157e+02 2.674233829390e+02 2.663932231979e+02 2.652119612729e+02 2.643998725154e+02 2.642001363384e+02 2.641547466395e+02 2.641500000288e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.116486844860e-02 8.047187190939e-02 2.288547575687e-01 2.262182368125e-01 2.238829803184e-01 2.225739347817e-01 2.222810562804e-01 2.222159063941e-01 2.222089261271e-01 2.222085388422e-01 8.572684874535e-01 8.592662874371e-01 7.666911946195e-01 7.702977936049e-01 7.740114138586e-01 7.769781007660e-01 7.777189437196e-01 7.777840936059e-01 7.777910738729e-01 7.777914611578e-01
1.728000000000e+05 1.174495287458e+06 2.684099401227e+02 2.682165302978e+02 2.677383233653e+02 2.669608563685e+02 2.658779168512e+02 2.648015031783e+02 2.643612367241e+02 2.641882198928e+02 2.641500030257e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.121250830512e-02 8.072981695626e-02 2.298160695323e-01 2.275852048629e-01 2.251257848537e-01 2.231961439099e-01 2.225164572196e-01 2.222638764338e-01 2.222089304056e-01 2.222085388422e-01 8.572188571852e-01 8.589984243745e-01 7.656685488147e-01 7.688501886291e-01 7.727017319757e-01 7.763245005599e-01 7.774835427804e-01 7.777361235662e-01 7.777910695944e-01 7.777914611578e-01
2.592000000000e+05 1.174495287459e+06 2.684183235881e+02 2.682652844806e+02 2.678844956103e+02 2.672481723063e+02 2.662888758240e+02 2.651536618477e+02 2.645562152414e+02 2.642473013371e+02 2.641500175094e+02 2.641500000002e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.123404871648e-02 8.084898103945e-02 2.302928835998e-01 2.283553478316e-01 2.259865711654e-01 2.237820340865e-01 2.228106657940e-01 2.223492412897e-01 2.222089510834e-01 2.222085388424e-01 8.571964127399e-01 8.588745510133e-01 7.651607007882e-01 7.680329419260e-01 7.717926939193e-01 7.757083873801e-01 7.771815574878e-01 7.776507587103e-01 7.777910489166e-01 7.777914611576e-01
3.456000000000e+05 1.174495287459e+06 2.684231427936e+02 2.682933470688e+02 2.679694914423e+02 2.674214889903e+02 2.665624323266e+02 2.654421503759e+02 2.647542924454e+02 2.643260748059e+02 2.641500603862e+02 2.641500000007e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.124645519115e-02 8.091832403762e-02 2.305798779892e-01 2.288492303179e-01 2.266061846692e-01 2.242933050273e-01 2.231205669463e-01 2.224644638820e-01 2.222090122971e-01 2.222085388432e-01 8.571834843742e-01 8.588024313365e-01 7.648548388024e-01 7.675082444801e-01 7.711373668440e-01 7.751701758976e-01 7.768559921618e-01 7.775355361180e-01 7.777909877029e-01 7.777914611568e-01
4.320000000000e+05 1.174495287459e+06 2.684263216358e+02 2.683118692298e+02 2.680258657167e+02 2.675385795030e+02 2.667574922702e+02 2.656762095379e+02 2.649409871291e+02 2.644173147558e+02 2.641501582729e+02 2.641500000026e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.125464837945e-02 8.096439862107e-02 2.307743694191e-01 2.291964738720e-01 2.270734327987e-01 2.247309024187e-01 2.234234438632e-01 2.225999739777e-01 2.222091520483e-01 2.222085388459e-01 8.571749460178e-01 8.587544972082e-01 7.646474824599e-01 7.671390594587e-01 7.706426519092e-01 7.747090839647e-01 7.765376328632e-01 7.774000260223e-01 7.777908479517e-01 7.777914611541e-01
5.184000000000e+05 1.174495287459e+06 2.684286055583e+02 2.683251817007e+02 2.680664958664e+02 2.676238700296e+02 2.669042826597e+02 2.658678991116e+02 2.651111723846e+02 2.645148706550e+02 2.641503473019e+02 2.641500000077e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.126053972644e-02 8.099766572928e-02 2.309166537076e-01 2.294567077344e-01 2.274401922553e-01 2.251057654446e-01 2.237091938307e-01 2.227473665629e-01 2.222094219288e-01 2.222085388531e-01 8.571688062031e-01 8.587198802723e-01 7.644957469174e-01 7.668622361101e-01 7.702540157134e-01 7.743137686396e-01 7.762371117882e-01 7.772526334371e-01 7.777905780712e-01 7.777914611469e-01
6.048000000000e+05 1.174495287459e+06 2.684303434482e+02 2.683353137866e+02 2.680974736221e+02 2.676893409765e+02 2.670193914619e+02 2.660272379499e+02 2.652642035824e+02 2.646142858134e+02 2.641506716087e+02 2.641500000194e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.126502524632e-02 8.102307092715e-02 2.310263493586e-01 2.296608168334e-01 2.277374680654e-01 2.254294519919e-01 2.239744405027e-01 2.229003053219e-01 2.222098849690e-01 2.222085388698e-01 8.571641313390e-01 8.586934402150e-01 7.643787420843e-01 7.666450293861e-01 7.699388063806e-01 7.739721780254e-01 7.759580064226e-01 7.770996946781e-01 7.777901150310e-01 7.777914611302e-01
6.912000000000e+05 1.174495287459e+06 2.684317210543e+02 2.683433466542e+02 2.681220627964e+02 2.677415529275e+02 2.671125649375e+02 2.661617436359e+02 2.654012646022e+02 2.647126327656e+02 2.641511809616e+02 2.641500000438e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.126858250100e-02 8.104326545658e-02 2.311141820505e-01 2.298263838847e-01 2.279846353039e-01 2.257117410490e-01 2.242190169617e-01 2.230544009223e-01 2.222106122685e-01 2.222085389047e-01 8.571604238112e-01 8.586724206008e-01 7.642850428811e-01 7.664687831609e-01 7.696765931447e-01 7.736740898241e-01 7.757005224627e-01 7.769455990777e-01 7.777893877315e-01 7.777914610953e-01
7.776000000000e+05 1.174495287459e+06 2.684328468697e+02 2.683499120865e+02 2.681421775798e+02 2.677844091235e+02 2.671898809725e+02 2.662769166192e+02 2.655241004234e+02 2.648081138940e+02 2.641519280238e+02 2.641500000906e+02 2.641500000000e+02 2.641500000000e+02 2.641500000000e+02 8.127149065464e-02 8.105980576939e-02 2.311865386551e-01 2.299641832154e-01 2.281943617116e-01 2.259603758760e-01 2.244440995680e-01 2.232067509722e-01 2.222116791083e-01 2.222085389715e-01 8.571573927229e-01 8.586552028765e-01 7.642078440901e-01 7.663220586939e-01 7.694540047580e-01 7.734113969314e-01 7.754634501252e-01 7.767932490278e-01 7.777883208917e-01 7.777914610285e-01
