"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.175986120039e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 8.730512013888e-02 8.730512013888e-02 2.419698448918e-01 2.419698448918e-01 2.419698448918e-01 2.419698448918e-01 2.419698257724e-01 2.419697617091e-01 2.419693822618e-01 2.419686506631e-01 8.404963565573e-01 8.419958757550e-01 7.535866183672e-01 7.544694774958e-01 7.558301362306e-01 7.575620630258e-01 7.580301742276e-01 7.580302382909e-01 7.580306177382e-01 7.580313493369e-01
8.640000000000e+04 1.175986120041e+06 2.611864344297e+02 2.618210740862e+02 2.633576466835e+02 2.656819900222e+02 2.683032017172e+02 2.698530375448e+02 2.701116762014e+02 2.701479833365e+02 2.701499999984e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.176871467825e-02 7.223442861886e-02 2.211512859908e-01 2.247419835872e-01 2.317827977287e-01 2.397353541434e-01 2.416621491760e-01 2.419534167274e-01 2.419693822486e-01 2.419686506631e-01 8.563913580713e-01 8.574488233109e-01 7.757755215230e-01 7.728838213907e-01 7.667704632654e-01 7.599704272704e-01 7.583378508240e-01 7.580465832726e-01 7.580306177514e-01 7.580313493369e-01
1.728000000000e+05 1.175986120041e+06 2.610515380996e+02 2.614866282867e+02 2.625624070680e+02 2.643251709333e+02 2.667999962122e+02 2.691366040397e+02 2.699092396451e+02 2.701225131228e+02 2.701499996326e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.167415813043e-02 7.198458919617e-02 2.202177264239e-01 2.224631731054e-01 2.271782499366e-01 2.354552281169e-01 2.401332266090e-01 2.417484638105e-01 2.419693792827e-01 2.419686506631e-01 8.564802122916e-01 8.576853588857e-01 7.767543121480e-01 7.752811833754e-01 7.716687971479e-01 7.645447718831e-01 7.598667733910e-01 7.582515361895e-01 7.580306207173e-01 7.580313493369e-01
2.592000000000e+05 1.175986120041e+06 2.613674915967e+02 2.616782857444e+02 2.624625515816e+02 2.638108186232e+02 2.659156874185e+02 2.684213334735e+02 2.696022711174e+02 2.700640979282e+02 2.701499974939e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.189799649515e-02 7.212651777851e-02 2.201083344164e-01 2.217389344443e-01 2.252016594852e-01 2.322404012535e-01 2.380822216566e-01 2.412885357980e-01 2.419693619396e-01 2.419686506630e-01 8.562695944314e-01 8.575511401944e-01 7.768690218216e-01 7.760411997739e-01 7.737586968110e-01 7.677595987465e-01 7.619177783434e-01 7.587114642020e-01 7.580306380604e-01 7.580313493370e-01
3.456000000000e+05 1.175986120041e+06 2.616921795906e+02 2.619344826988e+02 2.625500133930e+02 2.636305400759e+02 2.654111583894e+02 2.678281552052e+02 2.692497963482e+02 2.699701176958e+02 2.701499900836e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.213693532088e-02 7.232149895294e-02 2.202040603646e-01 2.214998547650e-01 2.242369366672e-01 2.301064780797e-01 2.360477896453e-01 2.405767540149e-01 2.419693018484e-01 2.419686506628e-01 8.560437199832e-01 8.573661429424e-01 7.767686420078e-01 7.762919484611e-01 7.747756798447e-01 7.698935219203e-01 7.639522103547e-01 7.594232459851e-01 7.580306981516e-01 7.580313493372e-01
4.320000000000e+05 1.175986120041e+06 2.617491983525e+02 2.619693892514e+02 2.625219112029e+02 2.634796208060e+02 2.650664847406e+02 2.673544210178e+02 2.688962438981e+02 2.698449812012e+02 2.701499706509e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.217987326661e-02 7.234854659775e-02 2.201731667116e-01 2.213051581755e-01 2.236332397275e-01 2.286551441175e-01 2.342796777581e-01 2.396790060435e-01 2.419691442658e-01 2.419686506621e-01 8.560030174240e-01 8.573404319426e-01 7.768010367676e-01 7.764961084342e-01 7.754110846804e-01 7.713448558825e-01 7.657203222419e-01 7.603209939565e-01 7.580308557342e-01 7.580313493379e-01
5.184000000000e+05 1.175986120041e+06 2.614545530640e+02 2.616844544300e+02 2.622500718633e+02 2.632006705188e+02 2.647315124673e+02 2.669514446263e+02 2.685590525873e+02 2.696960505035e+02 2.701499281186e+02 2.701499999996e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.196115460416e-02 7.213114085386e-02 2.198808669120e-01 2.209576696830e-01 2.230843399256e-01 2.275607158370e-01 2.327971714797e-01 2.386781159474e-01 2.419687993728e-01 2.419686506601e-01 8.562099936588e-01 8.575467827611e-01 7.771075857469e-01 7.768604224461e-01 7.759881835359e-01 7.724392841630e-01 7.672028285203e-01 7.613218840526e-01 7.580312006272e-01 7.580313493399e-01
6.048000000000e+05 1.175986120041e+06 2.610968866981e+02 2.613311603344e+02 2.619054547151e+02 2.628621709689e+02 2.643831265596e+02 2.665835767760e+02 2.682393808156e+02 2.695303800681e+02 2.701498462677e+02 2.701499999990e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.170578042666e-02 7.187183278031e-02 2.195265131548e-01 2.205561812526e-01 2.225489752868e-01 2.266555394789e-01 2.315424233732e-01 2.376419040736e-01 2.419681356671e-01 2.419686506549e-01 8.564505164472e-01 8.577917594392e-01 7.774793794652e-01 7.772813013440e-01 7.765505170413e-01 7.733444605211e-01 7.684575766268e-01 7.623580959264e-01 7.580318643329e-01 7.580313493451e-01
6.912000000000e+05 1.175986120041e+06 2.604660180082e+02 2.607251262797e+02 2.613533221075e+02 2.623787913395e+02 2.639667496190e+02 2.662165200857e+02 2.679290575622e+02 2.693528081473e+02 2.701497032516e+02 2.701499999975e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.128020269747e-02 7.145133405037e-02 2.189933020674e-01 2.200178167655e-01 2.219516985000e-01 2.258289351496e-01 2.304420547492e-01 2.366113519975e-01 2.419669760600e-01 2.419686506431e-01 8.568485127050e-01 8.581862686569e-01 7.780393986435e-01 7.778457323663e-01 7.771773348050e-01 7.741710648504e-01 7.695579452508e-01 7.633886480025e-01 7.580330239400e-01 7.580313493569e-01
7.776000000000e+05 1.175986120041e+06 2.596045001338e+02 2.598964838840e+02 2.606002761317e+02 2.617335900157e+02 2.634504495349e+02 2.658210563449e+02 2.676155094556e+02 2.691652916442e+02 2.701494714275e+02 2.701499999945e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.074463444162e-02 7.092067677366e-02 2.183267688611e-01 2.193561588293e-01 2.212680794168e-01 2.250124795109e-01 2.294305292727e-01 2.356026509241e-01 2.419650965624e-01 2.419686506186e-01 8.573441040876e-01 8.586790441198e-01 7.787410298677e-01 7.785399068646e-01 7.778942140468e-01 7.749875204891e-01 7.705694707273e-01 7.643973490759e-01 7.580349034376e-01 7.580313493814e-01
8.640000000000e+05 1.175986120041e+06 2.582457726733e+02 2.586006936791e+02 2.594483862702e+02 2.607859636014e+02 2.627497156769e+02 2.653554628786e+02 2.672801379066e+02 2.689664638606e+02 2.701491174053e+02 2.701499999887e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.999033075894e-02 7.017779218388e-02 2.174215592172e-01 2.184851251144e-01 2.204273999159e-01 2.241362720809e-01 2.284442995965e-01 2.346119313066e-01 2.419622267941e-01 2.419686505714e-01 8.580315615725e-01 8.593587837878e-01 7.796988271018e-01 7.794556922835e-01 7.787753843744e-01 7.758637279191e-01 7.715557004035e-01 7.653880686934e-01 7.580377732059e-01 7.580313494286e-01
