"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.175986120039e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 8.730512013888e-02 8.730512013888e-02 2.419698448918e-01 2.419698448918e-01 2.419698448918e-01 2.419698448918e-01 2.419698257724e-01 2.419697617091e-01 2.419693822618e-01 2.419686506631e-01 8.404963565573e-01 8.419958757550e-01 7.535866183672e-01 7.544694774958e-01 7.558301362306e-01 7.575620630258e-01 7.580301742276e-01 7.580302382909e-01 7.580306177382e-01 7.580313493369e-01
8.640000000000e+04 1.175986120041e+06 2.607435431688e+02 2.614206220326e+02 2.630498338584e+02 2.654931266566e+02 2.682295687697e+02 2.698418909640e+02 2.701103133145e+02 2.701479151617e+02 2.701499999983e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.146368755086e-02 7.193646168971e-02 2.207761318888e-01 2.243868052469e-01 2.315063144414e-01 2.396576957607e-01 2.416513203974e-01 2.419528644758e-01 2.419693822481e-01 2.419686506631e-01 8.566773617707e-01 8.577307813755e-01 7.761688541779e-01 7.732581622226e-01 7.670656277714e-01 7.600540574074e-01 7.583486796026e-01 7.580471355242e-01 7.580306177519e-01 7.580313493369e-01
1.728000000000e+05 1.175986120041e+06 2.608648795371e+02 2.612989780571e+02 2.623798442855e+02 2.641670668094e+02 2.666971203127e+02 2.691019822077e+02 2.699007511785e+02 2.701215402341e+02 2.701499996197e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.154572237857e-02 7.184875063635e-02 2.200189477285e-01 2.222335730345e-01 2.269264322972e-01 2.352791549618e-01 2.400724199982e-01 2.417406892259e-01 2.419693791778e-01 2.419686506631e-01 8.566006231329e-01 8.578134690041e-01 7.769627619363e-01 7.755222050189e-01 7.719355108168e-01 7.647208450382e-01 7.599275800018e-01 7.582593107741e-01 7.580306208222e-01 7.580313493369e-01
2.592000000000e+05 1.175986120041e+06 2.623714375919e+02 2.625798141249e+02 2.631459450050e+02 2.642223891121e+02 2.660714219551e+02 2.684377793957e+02 2.695994678939e+02 2.700627899335e+02 2.701499974269e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.266882754359e-02 7.284146618062e-02 2.208913042270e-01 2.223131799851e-01 2.255212453089e-01 2.323055608003e-01 2.380647911881e-01 2.412783949758e-01 2.419693613961e-01 2.419686506630e-01 8.555371816162e-01 8.568694699690e-01 7.760481058520e-01 7.754386469985e-01 7.734213578624e-01 7.676944391997e-01 7.619352088119e-01 7.587216050242e-01 7.580306386039e-01 7.580313493370e-01
3.456000000000e+05 1.175986120041e+06 2.630302139409e+02 2.631903102749e+02 2.636131583411e+02 2.644078366472e+02 2.658360490913e+02 2.679531016832e+02 2.692768492143e+02 2.699719316799e+02 2.701499899206e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.323138900147e-02 7.337587086900e-02 2.214771826210e-01 2.225858317063e-01 2.250424049122e-01 2.305237971019e-01 2.361935110071e-01 2.405901773024e-01 2.419693005261e-01 2.419686506628e-01 8.549961511000e-01 8.563542811307e-01 7.754337712642e-01 7.751523894547e-01 7.739267158309e-01 7.694762028981e-01 7.638064889929e-01 7.594098226976e-01 7.580306994739e-01 7.580313493372e-01
4.320000000000e+05 1.175986120041e+06 2.620646568499e+02 2.623228279293e+02 2.629378311822e+02 2.639235559788e+02 2.654364249784e+02 2.675348288768e+02 2.689583020031e+02 2.698541585006e+02 2.701499704753e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.242296962326e-02 7.262922389235e-02 2.206440881337e-01 2.218921918739e-01 2.242828646665e-01 2.291849827639e-01 2.345729078538e-01 2.397430112926e-01 2.419691428421e-01 2.419686506621e-01 8.557719454426e-01 8.570727877934e-01 7.763072889853e-01 7.758804292556e-01 7.747273087225e-01 7.708150172361e-01 7.654270921462e-01 7.602569887074e-01 7.580308571579e-01 7.580313493379e-01
5.184000000000e+05 1.175986120041e+06 2.597131451425e+02 2.601299726853e+02 2.610986822145e+02 2.625584261155e+02 2.645679500373e+02 2.670188306557e+02 2.686176414713e+02 2.697119086816e+02 2.701499283427e+02 2.701499999996e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.080951241179e-02 7.106540550338e-02 2.187605288631e-01 2.202133340076e-01 2.228287094509e-01 2.277357818125e-01 2.330422081827e-01 2.387814243813e-01 2.419688011902e-01 2.419686506601e-01 8.572843913030e-01 8.585452150448e-01 7.782841835900e-01 7.776407267088e-01 7.762567538522e-01 7.722642181875e-01 7.669577918173e-01 7.612185756187e-01 7.580311988098e-01 7.580313493399e-01
6.048000000000e+05 1.175986120041e+06 2.590699118437e+02 2.594231063625e+02 2.602846596517e+02 2.616837638208e+02 2.637698566156e+02 2.664522282040e+02 2.682451095935e+02 2.695453103610e+02 2.701498477809e+02 2.701499999990e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 7.043570275349e-02 7.063792236296e-02 2.180659708379e-01 2.193075290268e-01 2.216839734489e-01 2.263515209510e-01 2.315637668558e-01 2.377321945418e-01 2.419681479371e-01 2.419686506549e-01 8.576271868863e-01 8.589391814520e-01 7.790162669328e-01 7.785909632299e-01 7.774581439173e-01 7.736484790490e-01 7.684362331442e-01 7.622678054582e-01 7.580318520629e-01 7.580313493451e-01
6.912000000000e+05 1.175986120041e+06 2.562601134990e+02 2.567870962150e+02 2.580266703436e+02 2.599188456837e+02 2.625503418171e+02 2.657373476351e+02 2.678114525034e+02 2.693502546688e+02 2.701497072640e+02 2.701499999975e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.904633903317e-02 6.928107480441e-02 2.164583181825e-01 2.177761248118e-01 2.202044221793e-01 2.248485434958e-01 2.300516566203e-01 2.365970896178e-01 2.419670085923e-01 2.419686506431e-01 8.588735547497e-01 8.601625886506e-01 7.807290264138e-01 7.802042315231e-01 7.790091086248e-01 7.751514565042e-01 7.699483433797e-01 7.634029103822e-01 7.580329914077e-01 7.580313493569e-01
7.776000000000e+05 1.175986120041e+06 2.548008628868e+02 2.553040565393e+02 2.565248859497e+02 2.584761106089e+02 2.613296102161e+02 2.649242991748e+02 2.673087463135e+02 2.691212456946e+02 2.701494786838e+02 2.701499999945e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 6.844685093881e-02 6.864574362298e-02 2.155860030183e-01 2.167467306297e-01 2.189712908170e-01 2.233956658702e-01 2.285249237347e-01 2.353765286703e-01 2.419651553885e-01 2.419686506188e-01 8.593974645366e-01 8.607206920839e-01 7.816789471575e-01 7.813002062668e-01 7.803029599858e-01 7.766043341298e-01 7.714750762653e-01 7.646234713297e-01 7.580348446115e-01 7.580313493812e-01
