"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.174584589322e+06 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.545586089880e-02 7.545586089880e-02 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757215961e-01 2.237756852952e-01 2.237754702848e-01 2.237750557311e-01 8.621445716664e-01 8.634405725402e-01 7.721148476991e-01 7.729313231910e-01 7.741896717472e-01 7.757913721048e-01 7.762242784039e-01 7.762243147048e-01 7.762245297152e-01 7.762249442689e-01
8.640000000000e+04 1.174584589311e+06 2.606680718174e+02 2.609805092558e+02 2.617257218400e+02 2.628225720271e+02 2.640636542048e+02 2.649021213381e+02 2.651018479981e+02 2.651456217907e+02 2.651499999767e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.141322560085e-02 7.162496019322e-02 2.193484572156e-01 2.205105799624e-01 2.220868280822e-01 2.233594978701e-01 2.236932781605e-01 2.237681567282e-01 2.237754702447e-01 2.237750557311e-01 8.660516169486e-01 8.671491255129e-01 7.767622021003e-01 7.763591920291e-01 7.759642449945e-01 7.762291388995e-01 7.763067218395e-01 7.762318432718e-01 7.762245297553e-01 7.762249442689e-01
1.728000000000e+05 1.174584589311e+06 2.608134508068e+02 2.609988333767e+02 2.614665360606e+02 2.622441528685e+02 2.633548107339e+02 2.644784332410e+02 2.649362069693e+02 2.651124136838e+02 2.651499973320e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.151081396125e-02 7.163761385253e-02 2.190993718459e-01 2.198746311399e-01 2.211477445392e-01 2.226920452302e-01 2.234155364150e-01 2.237112650354e-01 2.237754656952e-01 2.237750557311e-01 8.659606204193e-01 8.671372882676e-01 7.770238669316e-01 7.770260662982e-01 7.769491563631e-01 7.769304301401e-01 7.765844635850e-01 7.762887349646e-01 7.762245343048e-01 7.762249442689e-01
2.592000000000e+05 1.174584589311e+06 2.623311944916e+02 2.623449597668e+02 2.624273829166e+02 2.626874835242e+02 2.632851203187e+02 2.642082059137e+02 2.647596446333e+02 2.650566016243e+02 2.651499845775e+02 2.651499999999e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.263602265924e-02 7.264722447262e-02 2.200701919915e-01 2.203570774406e-01 2.210612245056e-01 2.222926965106e-01 2.231290797376e-01 2.236164818315e-01 2.237754437538e-01 2.237750557309e-01 8.648980765768e-01 8.661828415554e-01 7.760048280300e-01 7.765201333367e-01 7.770398609016e-01 7.773496553920e-01 7.768709202624e-01 7.763835181685e-01 7.762245562462e-01 7.762249442691e-01
3.456000000000e+05 1.174584589311e+06 2.629962343599e+02 2.629920058083e+02 2.630056061244e+02 2.631027492070e+02 2.634202421668e+02 2.640880686706e+02 2.646184351529e+02 2.649895713874e+02 2.651499473541e+02 2.651499999994e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.320113333688e-02 7.319737808845e-02 2.207237143454e-01 2.208393256769e-01 2.212298694238e-01 2.221212335664e-01 2.229067592693e-01 2.235040055541e-01 2.237753797194e-01 2.237750557301e-01 8.643558506797e-01 8.656550626076e-01 7.753195350183e-01 7.760145292162e-01 7.768630555360e-01 7.775295767363e-01 7.770932407307e-01 7.764959944459e-01 7.762246202806e-01 7.762249442699e-01
4.320000000000e+05 1.174584589311e+06 2.620344431283e+02 2.621464715491e+02 2.623990526811e+02 2.627644077075e+02 2.632710348023e+02 2.639676268999e+02 2.644975696451e+02 2.649184165851e+02 2.651498639918e+02 2.651499999979e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.239927024154e-02 7.248759977796e-02 2.200396101651e-01 2.204440993328e-01 2.210438550143e-01 2.219529116960e-01 2.227210447679e-01 2.233861973062e-01 2.237752363154e-01 2.237750557275e-01 8.651236009097e-01 8.663350002847e-01 7.760369035143e-01 7.764288932462e-01 7.770580700005e-01 7.777061617621e-01 7.772789552321e-01 7.766138026938e-01 7.762247636846e-01 7.762249442725e-01
5.184000000000e+05 1.174584589311e+06 2.596854003816e+02 2.599679825375e+02 2.606062686449e+02 2.614988465105e+02 2.625777796959e+02 2.636828523831e+02 2.643415080217e+02 2.648390304728e+02 2.651497058074e+02 2.651499999939e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.079287480191e-02 7.096461399700e-02 2.183318211695e-01 2.191299430152e-01 2.202347125414e-01 2.215684866323e-01 2.224872383574e-01 2.232566486190e-01 2.237749642051e-01 2.237750557206e-01 8.666254241268e-01 8.677623786140e-01 7.778317633630e-01 7.778077543504e-01 7.779062818031e-01 7.781093260509e-01 7.775127616426e-01 7.767433513810e-01 7.762250357949e-01 7.762249442794e-01
6.048000000000e+05 1.174584589311e+06 2.590444300655e+02 2.592743237402e+02 2.598315157474e+02 2.607063564134e+02 2.619227375849e+02 2.633085778637e+02 2.641368266729e+02 2.647447256575e+02 2.651494373494e+02 2.651499999847e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.042138850616e-02 7.055185887842e-02 2.177088058024e-01 2.184167759165e-01 2.195438727164e-01 2.210902384488e-01 2.221903506383e-01 2.231052769161e-01 2.237745024203e-01 2.237750557048e-01 8.669650491985e-01 8.681409719524e-01 7.784902474132e-01 7.785581056608e-01 7.786308220967e-01 7.786106860505e-01 7.778096493617e-01 7.768947230839e-01 7.762254975797e-01 7.762249442952e-01
6.912000000000e+05 1.174584589311e+06 2.562360315052e+02 2.566464573772e+02 2.576011453882e+02 2.590020992941e+02 2.608129716459e+02 2.627504134342e+02 2.638508725709e+02 2.646250085459e+02 2.651490158366e+02 2.651499999656e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 6.903585888207e-02 6.921739929401e-02 2.161975557799e-01 2.171026494569e-01 2.185084726417e-01 2.204281921627e-01 2.217930069548e-01 2.229169439335e-01 2.237737774100e-01 2.237750556720e-01 8.682036001169e-01 8.693382536832e-01 7.801073578891e-01 7.799503013478e-01 7.797189912172e-01 7.793045538620e-01 7.782069930452e-01 7.770830560665e-01 7.762262225900e-01 7.762249443280e-01
7.776000000000e+05 1.174584589311e+06 2.547782159354e+02 2.551717910456e+02 2.561244381060e+02 2.576123702931e+02 2.596868042013e+02 2.620728477001e+02 2.634802130042e+02 2.644708695410e+02 2.651483895238e+02 2.651499999293e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 6.843808083959e-02 6.859270422768e-02 2.153743192553e-01 2.162042880953e-01 2.175987841174e-01 2.196964520227e-01 2.213058660166e-01 2.226805373258e-01 2.237727002512e-01 2.237750556094e-01 8.687238317825e-01 8.698841262694e-01 7.810096985787e-01 7.809155870986e-01 7.806799599087e-01 7.800716739232e-01 7.786941339834e-01 7.773194626742e-01 7.762272997488e-01 7.762249443906e-01
