"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.157067793070e+06 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.545586089880e-02 7.545586089880e-02 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757324299e-01 2.237757318224e-01 6.986627897083e-01 6.989105103184e-01 6.647775890012e-01 6.659288085053e-01 6.679317260066e-01 6.714337470730e-01 6.751472278425e-01 6.805962071742e-01 7.152847652421e-01 7.762242681776e-01
8.640000000000e+04 1.157067793070e+06 2.606987892201e+02 2.611592725221e+02 2.619384440325e+02 2.630049726855e+02 2.641788094912e+02 2.649393398073e+02 2.651110535224e+02 2.651466743441e+02 2.651499999853e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.143371236272e-02 7.174955586095e-02 2.195596856585e-01 2.207229662414e-01 2.222504053602e-01 2.234207238002e-01 2.237089909186e-01 2.237700132785e-01 2.237757324046e-01 2.237757318224e-01 7.026634858382e-01 7.026041670906e-01 6.692566970470e-01 6.691697095366e-01 6.695507194127e-01 6.718105737284e-01 6.752180572827e-01 6.806022739676e-01 7.152847652688e-01 7.762242681776e-01
1.728000000000e+05 1.157067793070e+06 2.608333846747e+02 2.611153170389e+02 2.616163251292e+02 2.623957610578e+02 2.634857593388e+02 2.645513463034e+02 2.649668133124e+02 2.651193993253e+02 2.651499981572e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.152432033338e-02 7.171867976931e-02 2.192422409596e-01 2.200360652182e-01 2.213129832602e-01 2.228031906625e-01 2.234662013924e-01 2.237232497591e-01 2.237757292598e-01 2.237757318224e-01 7.025755856656e-01 7.026342508620e-01 6.695953499236e-01 6.699000236420e-01 6.705454985094e-01 6.724658256850e-01 6.754756819276e-01 6.806518787493e-01 7.152847685949e-01 7.762242681776e-01
2.592000000000e+05 1.157067793070e+06 2.623355921878e+02 2.623714811127e+02 2.624763141101e+02 2.627607823355e+02 2.633779047694e+02 2.642871222424e+02 2.648056349594e+02 2.650716667270e+02 2.651499891227e+02 2.651499999999e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.263959922284e-02 7.266886311288e-02 2.201233148784e-01 2.204399751445e-01 2.211766310434e-01 2.224073263155e-01 2.232027904375e-01 2.236420132831e-01 2.237757137180e-01 2.237757318223e-01 7.014843833675e-01 7.017032081806e-01 6.686564510817e-01 6.694704509271e-01 6.706902354944e-01 6.728857606484e-01 6.757551296235e-01 6.807380456353e-01 7.152847850325e-01 7.762242681777e-01
3.456000000000e+05 1.157067793070e+06 2.629973836333e+02 2.629991338967e+02 2.630239815293e+02 2.631391391418e+02 2.634803709432e+02 2.641579269372e+02 2.646707378261e+02 2.650123215736e+02 2.651499622147e+02 2.651499999996e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.320215434884e-02 7.320370958887e-02 2.207454483357e-01 2.208830909868e-01 2.213061139897e-01 2.222204957516e-01 2.229884446484e-01 2.235420664854e-01 2.237756674291e-01 2.237757318217e-01 7.009278452229e-01 7.011740261077e-01 6.679949851169e-01 6.689996064721e-01 6.705527897771e-01 6.730839357076e-01 6.759824856317e-01 6.808440493191e-01 7.152848339895e-01 7.762242681783e-01
4.320000000000e+05 1.157067793070e+06 2.620448543375e+02 2.622067882666e+02 2.624705648246e+02 2.628330949833e+02 2.633400612764e+02 2.640363112453e+02 2.645535035334e+02 2.649477250733e+02 2.651499008648e+02 2.651499999986e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.240742653455e-02 7.253567872588e-02 2.201170530803e-01 2.205226709069e-01 2.211293520046e-01 2.220484690582e-01 2.228065017648e-01 2.234345785787e-01 2.237755618921e-01 2.237757318200e-01 7.017129120233e-01 7.018344759195e-01 6.686631137448e-01 6.693825511820e-01 6.707404262854e-01 6.732664048486e-01 6.761754482179e-01 6.809580403235e-01 7.152849456096e-01 7.762242681800e-01
5.184000000000e+05 1.157067793070e+06 2.597115280127e+02 2.601193222804e+02 2.607810977328e+02 2.616520259300e+02 2.627007828291e+02 2.637727039953e+02 2.644073861648e+02 2.648752467467e+02 2.651497825935e+02 2.651499999958e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.080854135302e-02 7.105872493794e-02 2.184809273433e-01 2.192767275952e-01 2.203720499012e-01 2.216877816356e-01 2.225851583120e-01 2.233155592586e-01 2.237753584397e-01 2.237757318152e-01 7.032667419864e-01 7.032736695916e-01 6.704099730240e-01 6.707091294547e-01 6.715448172161e-01 6.736489969005e-01 6.764101735271e-01 6.810842479466e-01 7.152851607889e-01 7.762242681848e-01
6.048000000000e+05 1.157067793070e+06 2.590679296415e+02 2.594112302547e+02 2.600016370899e+02 2.608731524436e+02 2.620731664563e+02 2.634226727472e+02 2.642178310242e+02 2.647894007195e+02 2.651495790689e+02 2.651499999894e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 7.043458796053e-02 7.063100470729e-02 2.178406003582e-01 2.185607898802e-01 2.196967795077e-01 2.212329369654e-01 2.223065915468e-01 2.231767053974e-01 2.237750083440e-01 2.237757318042e-01 7.036248296264e-01 7.036846527639e-01 6.710989083475e-01 6.714747774631e-01 6.722632168701e-01 6.741315443948e-01 6.767055539837e-01 6.812314724336e-01 7.152855310638e-01 7.762242681958e-01
6.912000000000e+05 1.157067793070e+06 2.562758192964e+02 2.568773900094e+02 2.578759175014e+02 2.592553276463e+02 2.610275507957e+02 2.629041368404e+02 2.639553735642e+02 2.646811812908e+02 2.651492556543e+02 2.651499999760e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 6.905318532028e-02 6.932236336475e-02 2.163646139736e-01 2.172816043473e-01 2.186968953463e-01 2.206048128426e-01 2.219359831017e-01 2.230048456751e-01 2.237744520470e-01 2.237757317812e-01 7.049295371632e-01 7.049250549516e-01 6.727096281596e-01 6.728545581084e-01 6.733305883737e-01 6.747982704162e-01 6.770985089725e-01 6.814136709903e-01 7.152861194248e-01 7.762242682188e-01
7.776000000000e+05 1.157067793070e+06 2.548186520919e+02 2.554072415635e+02 2.564157995158e+02 2.578974682679e+02 2.599454000732e+02 2.622682191275e+02 2.636142477398e+02 2.645423013707e+02 2.651487701702e+02 2.651499999502e+02 2.651500000000e+02 2.651500000000e+02 2.651500000000e+02 6.845375058581e-02 6.868750806795e-02 2.155275374982e-01 2.163779190067e-01 2.177967346282e-01 2.199000189056e-01 2.214786016726e-01 2.227893220251e-01 2.237736170455e-01 2.237757317368e-01 7.054873523531e-01 7.055178783348e-01 6.736468914450e-01 6.738448385172e-01 6.742978659046e-01 6.755472959504e-01 6.775834935130e-01 6.816421302994e-01 7.152870025536e-01 7.762242682632e-01
