"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155867467351e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000090726010e-02 5.000090723282e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499990927399e-01 9.499990927672e-01
8.640000000000e+04 1.155867467355e+06 2.611445025389e+02 2.618095924055e+02 2.632557952665e+02 2.654444246110e+02 2.680311679027e+02 2.697391666820e+02 2.700853448146e+02 2.701455977309e+02 2.701499999652e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.141672721346e-01 1.144925555809e-01 8.074896588709e-02 8.397494427298e-02 9.000581350376e-02 9.705486410159e-02 9.911209341907e-02 9.950354200456e-02 5.000090726009e-02 5.000090723282e-02 7.383751570972e-01 7.404784453827e-01 8.835383654207e-01 8.850305577757e-01 8.874736940280e-01 8.959184574560e-01 9.008879065809e-01 9.004964579954e-01 9.499990927399e-01 9.499990927672e-01
1.728000000000e+05 1.155867467360e+06 2.609523401120e+02 2.614224738859e+02 2.624570003992e+02 2.641248207299e+02 2.665090156709e+02 2.689043478490e+02 2.698060233882e+02 2.701016643312e+02 2.701499948531e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140779782014e-01 1.143000618528e-01 7.981171094979e-02 8.189751923189e-02 8.605347693751e-02 9.311122956027e-02 9.742870049576e-02 9.921700858762e-02 5.000090725854e-02 5.000090723282e-02 7.384592854550e-01 7.406605568076e-01 8.844698584418e-01 8.871387337769e-01 8.915914492726e-01 9.001082730025e-01 9.025712995042e-01 9.007829914124e-01 9.499990927415e-01 9.499990927672e-01
2.592000000000e+05 1.155867467360e+06 2.611054233653e+02 2.614578783112e+02 2.622445061227e+02 2.635590603809e+02 2.656083162362e+02 2.681238258735e+02 2.694196679609e+02 2.700104353501e+02 2.701499679913e+02 2.701499999994e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.141489505201e-01 1.143172929955e-01 7.957882183610e-02 8.113312450224e-02 8.426784769850e-02 9.029895862687e-02 9.539996880773e-02 9.864008085579e-02 5.000090725042e-02 5.000090723282e-02 7.383924295402e-01 7.406442816291e-01 8.847000209151e-01 8.879062454151e-01 8.934273342075e-01 9.030725741663e-01 9.046000311923e-01 9.013599191442e-01 9.499990927496e-01 9.499990927672e-01
3.456000000000e+05 1.155867467360e+06 2.614034199457e+02 2.616778954284e+02 2.622968230487e+02 2.633563024308e+02 2.650962410657e+02 2.674989535658e+02 2.690037446761e+02 2.698743822122e+02 2.701498831071e+02 2.701499999971e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.142908186754e-01 1.144260448608e-01 7.963556450510e-02 8.087442909472e-02 8.338073302522e-02 8.845525695200e-02 9.352126373520e-02 9.782196483448e-02 5.000090722476e-02 5.000090723282e-02 7.382585381332e-01 7.405414430541e-01 8.846439918601e-01 8.881648827182e-01 8.943322920631e-01 9.050019258293e-01 9.064787362648e-01 9.021780351655e-01 9.499990927752e-01 9.499990927672e-01
4.320000000000e+05 1.155867467360e+06 2.611384048441e+02 2.614161954820e+02 2.620274331286e+02 2.630399215448e+02 2.646688593904e+02 2.669862734452e+02 2.685989168482e+02 2.697033342077e+02 2.701496784482e+02 2.701499999893e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.141644078084e-01 1.142970138291e-01 7.934741270160e-02 8.048544597590e-02 8.269883811044e-02 8.714380313744e-02 9.193028918986e-02 9.685850893707e-02 5.000090716290e-02 5.000090723282e-02 7.383778577746e-01 7.406634351908e-01 8.849281859829e-01 8.885526656533e-01 8.950242799300e-01 9.063660462306e-01 9.080697108101e-01 9.031414910629e-01 9.499990928371e-01 9.499990927672e-01
5.184000000000e+05 1.155867467360e+06 2.612311068547e+02 2.614666443316e+02 2.619934881033e+02 2.628876031364e+02 2.643682091353e+02 2.665697653545e+02 2.682247610341e+02 2.695093535769e+02 2.701492643430e+02 2.701499999677e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.142081759625e-01 1.143215707153e-01 7.931179986861e-02 8.030421985987e-02 8.224738696891e-02 8.618607114989e-02 9.062679957501e-02 9.584381711164e-02 5.000090703775e-02 5.000090723281e-02 7.383365754026e-01 7.406402404293e-01 8.849632514612e-01 8.887328629046e-01 8.954805507657e-01 9.073572398607e-01 9.093732004250e-01 9.041561828884e-01 9.499990929623e-01 9.499990927672e-01
6.048000000000e+05 1.155867467361e+06 2.606733335877e+02 2.609446892381e+02 2.615336095970e+02 2.624880906684e+02 2.639957866190e+02 2.661851104693e+02 2.678756300471e+02 2.693017472604e+02 2.701485244936e+02 2.701499999163e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139517975248e-01 1.140744640416e-01 7.884387215949e-02 7.984633110767e-02 8.171736101063e-02 8.537416639348e-02 8.952983487764e-02 9.483851660316e-02 5.000090681424e-02 5.000090723280e-02 7.385779473402e-01 7.408731702835e-01 8.854227668353e-01 8.891867743662e-01 8.960142255837e-01 9.081938269535e-01 9.104701651224e-01 9.051614833968e-01 9.499990931858e-01 9.499990927672e-01
6.912000000000e+05 1.155867467361e+06 2.601176723646e+02 2.604016349076e+02 2.610183427344e+02 2.620143631959e+02 2.635706508169e+02 2.658010710694e+02 2.675392276871e+02 2.690856307212e+02 2.701473201714e+02 2.701499998062e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.137119579971e-01 1.138326842527e-01 7.834960936840e-02 7.933368253246e-02 8.114814441308e-02 8.462397423009e-02 8.856506520130e-02 9.386966210258e-02 5.000090645066e-02 5.000090723276e-02 7.388028283825e-01 7.411001122259e-01 8.859056019114e-01 8.896925348338e-01 8.965848060535e-01 9.089635378120e-01 9.114349347987e-01 9.061303378974e-01 9.499990935493e-01 9.499990927672e-01
7.776000000000e+05 1.155867467361e+06 2.607177781423e+02 2.609018969688e+02 2.613284719420e+02 2.620884101779e+02 2.634119641865e+02 2.654996161650e+02 2.672318302533e+02 2.688668468951e+02 2.701454964315e+02 2.701499995905e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139716301103e-01 1.140548659545e-01 7.864346644974e-02 7.941177124309e-02 8.094469277940e-02 8.407259769186e-02 8.775180098675e-02 9.295970260836e-02 5.000090590062e-02 5.000090723270e-02 7.385593131636e-01 7.408916002302e-01 8.856188603025e-01 8.896156663979e-01 8.967880731045e-01 9.095270883924e-01 9.122481990132e-01 9.070402973916e-01 9.499990940994e-01 9.499990927673e-01
