"time [s]" "water content [mol]" "point -0.01 temperature [K]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -5.0 temperature [K]" "point -10.0 temperature [K]" "point -20.0 temperature [K]" "point -30.0 temperature [K]" "point -40.0 temperature [K]" "point -0.01 saturation liquid" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid" "point -5.0 saturation liquid" "point -10.0 saturation liquid" "point -0.01 saturation ice" "point -0.04 saturation ice" "point -0.1 saturation ice" "point -0.2 saturation ice" "point -0.4 saturation ice" "point -0.8 saturation ice" "point -1.2 saturation ice" "point -1.6 saturation ice" "point -5.0 saturation ice" "point -10.0 saturation ice"
0.000000000000e+00 1.155867467351e+06 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.246505159143e-01 1.246505159143e-01 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953264465170e-02 9.953262908530e-02 9.953257692704e-02 5.000090726010e-02 5.000090723282e-02 7.277293913636e-01 7.301434497191e-01 8.638999819173e-01 8.686568688280e-01 8.773594536034e-01 8.932712540738e-01 9.004673709147e-01 9.004674230730e-01 9.499990927399e-01 9.499990927672e-01
8.640000000000e+04 1.155867467356e+06 2.595954519822e+02 2.603944064584e+02 2.621146645915e+02 2.646822128143e+02 2.676890409194e+02 2.696729379075e+02 2.700751363361e+02 2.701449194409e+02 2.701499999600e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.134993355621e-01 1.138295642084e-01 7.943963548169e-02 8.271940922899e-02 8.898467405505e-02 9.669444265087e-02 9.904682969764e-02 9.949907367683e-02 5.000090726009e-02 5.000090723282e-02 7.390015342909e-01 7.411030348533e-01 8.848373205100e-01 8.863083538291e-01 8.885436090231e-01 8.963026779363e-01 9.009531703024e-01 9.005009263232e-01 9.499990927399e-01 9.499990927672e-01
1.728000000000e+05 1.155867467366e+06 2.597425802500e+02 2.602574378614e+02 2.614011767833e+02 2.632657719028e+02 2.659616382186e+02 2.687047688811e+02 2.697495261535e+02 2.700937017147e+02 2.701499940105e+02 2.701499999999e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.135580554088e-01 1.137709107803e-01 7.871393051009e-02 8.076133954008e-02 8.493078608284e-02 9.232680414202e-02 9.711203653269e-02 9.916569510314e-02 5.000090725829e-02 5.000090723282e-02 7.389467147585e-01 7.411579516350e-01 8.855499620502e-01 8.882777633742e-01 8.927478512756e-01 9.009373811722e-01 9.028879634673e-01 9.008343048969e-01 9.499990927417e-01 9.499990927672e-01
2.592000000000e+05 1.155867467366e+06 2.606508112216e+02 2.609739505533e+02 2.617172261651e+02 2.630150692815e+02 2.651378198765e+02 2.678631131917e+02 2.693144284974e+02 2.699890396094e+02 2.701499628783e+02 2.701499999993e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.139417852720e-01 1.140879209850e-01 7.902752402013e-02 8.045561608517e-02 8.344978026567e-02 8.949265309079e-02 9.489777459747e-02 9.850816539765e-02 5.000090724888e-02 5.000090723282e-02 7.385873548213e-01 7.408605118584e-01 8.852426900250e-01 8.885823474505e-01 8.942620424407e-01 9.039178742198e-01 9.051022254025e-01 9.014918346024e-01 9.499990927511e-01 9.499990927672e-01
3.456000000000e+05 1.155867467366e+06 2.608236134777e+02 2.611085804744e+02 2.617488670370e+02 2.628433628633e+02 2.646553477313e+02 2.672129340371e+02 2.688597632717e+02 2.698356700745e+02 2.701498650253e+02 2.701499999966e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.140192618830e-01 1.141504275685e-01 7.905959043771e-02 8.025229048845e-02 8.267806944658e-02 8.770401011899e-02 9.293137825831e-02 9.759783231935e-02 5.000090721929e-02 5.000090723282e-02 7.385145369866e-01 7.408016747779e-01 8.852112113085e-01 8.887844416777e-01 8.950453040350e-01 9.057842591207e-01 9.070686217417e-01 9.024021676806e-01 9.499990927807e-01 9.499990927672e-01
4.320000000000e+05 1.155867467367e+06 2.594733893252e+02 2.598626582830e+02 2.606933428259e+02 2.619973199820e+02 2.639617653959e+02 2.666035729621e+02 2.684039892630e+02 2.696427862869e+02 2.701496301190e+02 2.701499999876e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.134512976623e-01 1.136066569144e-01 7.805280126015e-02 7.931581238184e-02 8.167045345295e-02 8.626060641863e-02 9.123322349966e-02 9.653336784567e-02 5.000090714829e-02 5.000090723282e-02 7.390463518998e-01 7.413114835492e-01 8.861942440278e-01 8.897101174609e-01 8.960613479958e-01 9.072802639122e-01 9.087667765003e-01 9.034666321543e-01 9.499990928517e-01 9.499990927672e-01
5.184000000000e+05 1.155867467367e+06 2.593465877232e+02 2.596666282514e+02 2.603753719478e+02 2.615493128023e+02 2.634167059018e+02 2.660517465272e+02 2.679591518005e+02 2.694203215511e+02 2.701491559203e+02 2.701499999628e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.134020310358e-01 1.135276296347e-01 7.777278343066e-02 7.885941822602e-02 8.095070447896e-02 8.510720881427e-02 8.978281693701e-02 9.540310169971e-02 5.000090700499e-02 5.000090723281e-02 7.390922897701e-01 7.413852258757e-01 8.864656323296e-01 8.901580250042e-01 8.967820724557e-01 9.084681062994e-01 9.102171830630e-01 9.045968983003e-01 9.499990929950e-01 9.499990927672e-01
6.048000000000e+05 1.155867467367e+06 2.582950742377e+02 2.586726330118e+02 2.594866555882e+02 2.607818142270e+02 2.627619354911e+02 2.654986152122e+02 2.675172226604e+02 2.691752186312e+02 2.701483086910e+02 2.701499999037e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.130167007396e-01 1.131505011963e-01 7.703961073581e-02 7.813250896540e-02 8.015752495227e-02 8.407081785964e-02 8.850479010199e-02 9.426232335153e-02 5.000090674907e-02 5.000090723279e-02 7.394508647666e-01 7.417362077859e-01 8.871718004879e-01 8.908667535706e-01 8.975710059819e-01 9.095289043773e-01 9.114952098980e-01 9.057376766485e-01 9.499990932509e-01 9.499990927672e-01
6.912000000000e+05 1.155867467367e+06 2.568632245932e+02 2.573017144552e+02 2.582424829674e+02 2.597186786940e+02 2.619225605301e+02 2.648846453722e+02 2.670563876014e+02 2.689091907547e+02 2.701469260870e+02 2.701499997774e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.125499330055e-01 1.126865148995e-01 7.611921346638e-02 7.722440592145e-02 7.923787703810e-02 8.303694382117e-02 8.731370269359e-02 9.313066921927e-02 5.000090633175e-02 5.000090723275e-02 7.398846426286e-01 7.421668860361e-01 8.880488315088e-01 8.917435772681e-01 8.984781344373e-01 9.105801957250e-01 9.126862973064e-01 9.068693307807e-01 9.499990936683e-01 9.499990927672e-01
7.776000000000e+05 1.155867467367e+06 2.566362662601e+02 2.570027291953e+02 2.578149046954e+02 2.591559165276e+02 2.612807472466e+02 2.642959367746e+02 2.665882029671e+02 2.686245021850e+02 2.701448215611e+02 2.701499995297e+02 2.701500000000e+02 2.701500000000e+02 2.701500000000e+02 1.124812672147e-01 1.125928161242e-01 7.582759937309e-02 7.678371230343e-02 7.859754338429e-02 8.214208849964e-02 8.622638012053e-02 9.202484496458e-02 5.000090569726e-02 5.000090723268e-02 7.399485416331e-01 7.422538806152e-01 8.883244204926e-01 8.921654643931e-01 8.991045411612e-01 9.114839064484e-01 9.137736198795e-01 9.079751550354e-01 9.499990943027e-01 9.499990927673e-01
