"time [s]" "point -0.04 temperature [K]" "point -0.1 temperature [K]" "point -0.2 temperature [K]" "point -0.4 temperature [K]" "point -0.8 temperature [K]" "point -1.2 temperature [K]" "point -1.6 temperature [K]" "point -0.04 saturation liquid" "point -0.1 saturation liquid" "point -0.2 saturation liquid" "point -0.4 saturation liquid" "point -0.8 saturation liquid" "point -1.2 saturation liquid" "point -1.6 saturation liquid"
0.000000000000e+00 2.646617136679e+02 2.646616949522e+02 2.646616581727e+02 2.646616093150e+02 2.646614192544e+02 2.646611210364e+02 2.646607325077e+02 2.243259786705e-01 2.243259786663e-01 2.243259786579e-01 1.594988146181e-01 1.594988143658e-01 1.594988139646e-01 1.594988134268e-01
8.640000000000e+04 2.639167521744e+02 2.642876033933e+02 2.645175744779e+02 2.645970839295e+02 2.646512368086e+02 2.646597858512e+02 2.646604549734e+02 2.243258235818e-01 2.243258974426e-01 2.243259465190e-01 1.594987296591e-01 1.594988008676e-01 1.594988121965e-01 1.594988130593e-01
1.728000000000e+05 2.632213863828e+02 2.638337765481e+02 2.642781630663e+02 2.644525023514e+02 2.646081725392e+02 2.646491540000e+02 2.646574040381e+02 2.243257003285e-01 2.243258078816e-01 2.243258954838e-01 1.594985440567e-01 1.594987441541e-01 1.594987981095e-01 1.594988090207e-01
2.592000000000e+05 2.626051174231e+02 2.633922212198e+02 2.640150930352e+02 2.642752853857e+02 2.645405534745e+02 2.646273561133e+02 2.646497649041e+02 2.243256050194e-01 2.243257289387e-01 2.243258425684e-01 1.594983250742e-01 1.594986562946e-01 1.594987693373e-01 1.594987989181e-01
3.456000000000e+05 2.620743343066e+02 2.629885352406e+02 2.637518176719e+02 2.640838380839e+02 2.644538716590e+02 2.645937289638e+02 2.646361196110e+02 2.243255316480e-01 2.243256629217e-01 2.243257926531e-01 1.594980983868e-01 1.594985457322e-01 1.594987252459e-01 1.594987808865e-01
4.320000000000e+05 2.615373537617e+02 2.625852629219e+02 2.634818651750e+02 2.638808971011e+02 2.643519769274e+02 2.645486803291e+02 2.646156856794e+02 2.243254644205e-01 2.243256021385e-01 2.243257443670e-01 1.594978685839e-01 1.594984186361e-01 1.594986667331e-01 1.594987539948e-01
5.184000000000e+05 2.610601010014e+02 2.622092956008e+02 2.632167540127e+02 2.636738550657e+02 2.642386146343e+02 2.644932207407e+02 2.645882005949e+02 2.243254098138e-01 2.243255496110e-01 2.243256995668e-01 1.594976445275e-01 1.594982807475e-01 1.594985955559e-01 1.594987180312e-01
6.048000000000e+05 2.605782488387e+02 2.618349228033e+02 2.629500126258e+02 2.634621889661e+02 2.641159866745e+02 2.644284481490e+02 2.645537394254e+02 2.243253589979e-01 2.243255008651e-01 2.243256569022e-01 1.594974256156e-01 1.594981355899e-01 1.594985136019e-01 1.594986732729e-01
6.912000000000e+05 2.600793109455e+02 2.614505448483e+02 2.626760797565e+02 2.632435376100e+02 2.639848985488e+02 2.643552176267e+02 2.645125207341e+02 2.243253104337e-01 2.243254541473e-01 2.243256154077e-01 1.594972095559e-01 1.594979848278e-01 1.594984224380e-01 1.594986202192e-01
7.776000000000e+05 2.595441663114e+02 2.610429143918e+02 2.623881529107e+02 2.630141079241e+02 2.638450169085e+02 2.642739854756e+02 2.644647522412e+02 2.243252624107e-01 2.243254079298e-01 2.243255741297e-01 1.594969931352e-01 1.594978287625e-01 1.594983231185e-01 1.594985593814e-01
